,Age dependency ratio (% of working-age population),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)",Arms imports (SIPRI trend indicator values),Broad money (% of GDP),Broad money to total reserves ratio,Changes in inventories (current US$),"Claims on central government, etc. (% GDP)",Consumer price index (2010 = 100),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Exports of goods and services (% of GDP),Exports of goods and services (current US$),External balance on goods and services (% of GDP),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Final consumption expenditure (current US$),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (current US$),GDP deflator (base year varies by country),GDP per capita (current US$),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),GNI (current US$),Gross capital formation (% of GDP),Gross capital formation (current US$),Gross domestic savings (% of GDP),Gross domestic savings (current US$),Gross fixed capital formation (% of GDP),Gross fixed capital formation (current US$),Gross national expenditure (% of GDP),Gross national expenditure (current US$),Gross national expenditure deflator (base year varies by country),Gross value added at basic prices (GVA) (current US$),Households and NPISHs final consumption expenditure (% of GDP),Households and NPISHs Final consumption expenditure (current US$),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (current US$)","Inflation, consumer prices (annual %)","Manufacturing, value added (% of GDP)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Military expenditure (current USD),Monetary Sector credit to private sector (% GDP),Net primary income (Net income from abroad) (current US$),"Population ages 0-14, total",Population ages 15-64 (% of total population),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Rural population,Rural population (% of total population),"Services, value added (% of GDP)",Taxes less subsidies on products (current US$),"Total reserves (includes gold, current US$)",Total reserves minus gold (current US$),Trade (% of GDP),Urban population,Urban population (% of total population)
1970 [YR1970],79.2694671127816,39.92780620156,24923928060.2093,872000000.0,21.3730683996469,13.0394336635503,697248221.969091,11.3980513406577,4.59809549976314,11.2365497015033,11.2365497015033,3.78282506203901,2361333333.33333,-0.096119213885802,-60000000.0,88.631912058513,55326240285.62,981356.0,0.176760455,62422483054.5173,4.29817847638446,112.434492477745,8.94724413435599,5585091953.61467,62043816387.8507,16.6531413945703,10395304365.0704,11.368087941487,7096242768.89733,15.5361588782545,9698056143.10134,105.285053453083,65721544650.6904,4.55948729490511,57838263436.0013,79.684667924157,49741148332.0053,3.87894427592481,2421333333.33333,21.7293092920945,13563974410.7213,5.09226161997547,14.4565450929702,9024134410.928,2026000000.0,2124000000.0,6.6482456271013,3.18518303985171,1832966666.66667,11.2365497015033,-378666666.666667,227147673.0,55.7819474461807,267712747.0,48.2200408664931,287477050.0,51.7799591335069,555189797.0,445484293.0,80.24,35.0468708636193,4584219618.51607,1023173271.49678,763320000.0,7.66176933796381,109705504.0,19.76
1971 [YR1971],79.0293327848886,38.0997785048326,25660577256.7808,1870000000.0,23.3705521595869,12.634468707291,686179218.645217,12.8658750389172,4.73971402179062,12.4934379259205,12.4934379259205,3.66720521708832,2469898946.46313,-0.335196124304047,-225757901.526553,89.9534069738453,60584508355.3497,981356.0,0.17676,67350988020.9041,4.52704964831047,118.603241475547,9.67379314373021,6515395261.40077,66959943084.3313,17.6045113708662,11856812344.5308,10.0465930261547,6766479665.55446,16.5857004538946,11170633125.8856,107.557918344711,72441320699.8804,4.80793830017996,62020937617.8159,80.2796138301151,54069113093.9489,4.00240134139237,2695656847.98968,22.392007907235,15081238563.2418,3.07993868406547,14.9822867426303,10090718149.2864,2036000000.0,2424000000.0,6.62202609205336,3.65245352356247,2255256982.83756,12.4934379259205,-391044936.57278,231635540.0,55.8567684648161,273769666.0,48.2100868293128,294098355.0,51.7899131706872,567868021.0,454345525.0,80.009,35.803649082949,5330050403.08817,1245821898.02245,942439552.948743,7.66960655848069,113522496.0,19.991
1972 [YR1972],78.7224437148975,38.0177222720281,27168678557.165,1807000000.0,24.4663184738144,12.7847283254415,-654945341.770297,13.7313364111224,5.04505101847466,12.9223576802102,12.9223576802102,4.02748926158673,2878172457.50653,0.318578925860344,227666675.290404,89.6071544368723,64036134461.1337,981356.0,0.17676,71463193830.4064,5.01776384426691,122.981864109903,9.33421495863531,6670528128.43634,71072538512.5786,16.1359539181538,11531268024.9153,10.3928455631277,7427059369.27277,17.0524331666528,12186213366.6856,105.743108355026,75567402486.049,5.22200951825381,65672870824.897,80.2729394782369,57365606332.6973,3.70891033572639,2650505782.21613,22.4080025883951,16013474323.2673,6.44209746158236,15.102549377514,10792764134.9856,2448000000.0,2223000000.0,6.53623179938617,3.7179474612821,2497244705.68716,12.9223576802102,-390655317.827853,236214691.0,55.9526817432045,280088829.0,48.2008212346698,300998426.0,51.7991787653302,581087255.0,463004514.0,79.679,35.5216549183548,5790323005.50937,1367601418.5857,916317572.716268,7.73639959731312,118082741.0,20.321
1973 [YR1973],78.3406308388556,41.1620452004123,35199833920.0471,1325000000.0,24.0207351425579,12.6073037828579,2694373885.27718,13.171659546874,5.89972382756987,13.093863834094,13.093863834094,4.20876319232271,3599135190.13099,-0.514569634114367,-440035609.818136,87.9139401197207,75179842896.6336,981356.0,0.17676,85515269585.522,5.91241686952376,143.778687613061,8.40736153328719,7189577880.22002,85101941339.3056,19.0580369291081,16297531657.6351,12.0860598802793,10335426688.8885,15.9072851413438,13603157772.3579,106.971977048829,91477374554.2687,6.11972476457652,79128776460.1381,79.506578586435,67990265016.4149,4.72333282643708,4039170799.94913,21.3482302907461,18255996684.8696,16.9408159791735,15.0152853126864,12840361714.1791,2917000000.0,3211000000.0,7.16597167932858,3.15864376713433,2529921054.3991,13.093863834094,-413328246.216457,240844888.0,56.0724718568334,286636581.0,48.1928334411195,308133555.0,51.8071665588805,594770136.0,471932260.0,79.347,32.9477056143664,6386493125.38399,1629325093.4044,848791785.255795,8.9320960187598,122837876.0,20.653
1974 [YR1974],77.8268564762813,38.1996932775489,38018588193.949,1285000000.0,22.8354560374525,9.77660703757668,2626765762.10869,12.5328915596059,7.58697015632402,12.9137997938418,12.9137997938418,4.83132100338351,4808415667.78675,-1.18924824698671,-1183610010.53212,90.2385354738532,89810713779.2605,981356.0,0.17676,99525899115.7756,6.89786988110941,163.478112500121,8.64064088352269,8599675528.69126,99161036284.1391,19.2437065951725,19152472012.0472,9.76146452614684,9715185336.51513,16.6044279898589,16525706249.9386,109.482242069026,108963185791.308,7.49673349742943,91825363863.7819,81.5978945903305,81211038250.5692,6.02056925037022,5992025678.31887,22.675693396367,22568187733.4708,28.598734077509,16.3459133782338,16268417258.373,3926000000.0,5136000000.0,9.10516768048328,3.20282632441289,2895415720.35154,12.9137997938418,-364862831.636491,245375869.0,56.2344755097958,293362996.0,48.1868833032816,315439599.0,51.8131166967184,608802595.0,481008842.0,79.009,33.6105959520801,7700535251.99368,2324650346.59874,1027733777.72385,10.8518902537537,127793753.0,20.991
1975 [YR1975],77.1665825449187,35.2695013495212,34730864275.353,1089000000.0,24.2610088973281,11.5724521685599,1223827707.86099,12.6024938126848,8.02310184746566,14.9337333298857,14.9337333298857,5.64706215784259,5560820024.49904,-0.999853898271381,-984584094.113297,87.2222588057793,85890197379.1122,1465415.0,0.235180258,98472796457.114,6.78414597304856,158.036171003399,9.48765621556165,9342760393.70074,98178114597.9603,18.9575187533961,18667998855.351,12.7777411942207,12582599078.0017,17.7147108390358,17444171147.49,106.179777559175,104558196234.463,7.56798059934602,89887191072.3375,77.7346025902177,76547436985.4115,6.64691605611397,6545404118.61234,23.2012520766751,22846921732.9662,5.74843029767436,15.8384866598511,15596600730.4424,4355000000.0,6381000000.0,10.9025034184701,3.53459878110716,3323646800.51911,14.9337333298857,-294681859.153628,249728337.0,56.4440530919246,300231625.0,48.1833137030818,322871275.0,51.8166862969182,623102900.0,490182589.0,78.668,35.1392413946557,8585605384.7765,2064427967.54988,1089132799.80348,12.2939782139566,132920311.0,21.332
1976 [YR1976],76.9998407465221,33.4429712884776,34351671820.6672,1915000000.0,28.0306374166901,7.72169520991839,682279524.325198,12.1491425874196,7.41062245381336,17.8877016986059,17.8877016986059,6.68651286170258,6868196413.18819,0.571822650658715,587360012.530347,84.7892602418212,87093123892.0063,1613644.0,0.253068987,102717164465.894,7.18996404270484,161.092092236981,9.77975331556801,10045485297.5107,102456488498.428,19.1531791012955,19673602477.9249,15.2107397581788,15624040573.8876,18.4889478329647,18991322953.5997,103.942439343117,106766726369.931,7.59394109352956,93542576801.1993,75.0095069262532,77047638594.4956,6.11469021104386,6280836400.65784,24.4805234159193,25145699499.2415,-7.63394763392879,16.2658888325633,16707859783.9835,5549000000.0,5665000000.0,10.9173574429457,3.4778831428908,3294910612.34921,17.8877016986059,-260675967.465849,254937707.0,56.4972259535175,307224284.0,48.1822127323243,330405801.0,51.8177872676757,637630085.0,499411011.0,78.323,35.8037232153013,9174587664.69465,3728750637.4451,2791702339.02209,12.8012030727464,138219074.0,21.677
1977 [YR1977],76.6138996958549,34.9477259662017,42457056541.9936,2372000000.0,29.4811212298266,5.88549481813946,1000495092.4059,12.3566494818342,8.02625769777357,18.0417851882955,18.0417851882955,6.38317181382281,7754744525.54745,0.11824248992473,143649635.036496,85.4460385801968,103806104431.437,1726746.0,0.264672405,121487322474.298,7.59527880515657,186.213504179523,9.20977194148687,11188705337.7016,121215205685.977,19.61373131334,23828197009.8798,14.5539614198032,17681218042.8613,18.7901926329006,22827701917.4739,105.059769893537,127634301441.317,7.96137421063693,111446335241.383,76.2362666387109,92617399093.7366,6.26492932389808,7611094890.51095,24.4002625426169,29643225639.7244,8.30747009171164,16.0808689294252,19536217092.96,6378000000.0,6647000000.0,10.7212832867854,3.16277193712918,3477080944.50128,18.0417851882955,-272116788.321168,259824349.0,56.6206851576748,314349661.0,48.1829303010929,338059105.0,51.8170696989071,652408766.0,508709211.0,77.974,34.6614496121222,10040987232.9156,6085439869.41109,4872016471.72272,12.6481011377209,143699555.0,22.026
1978 [YR1978],76.0904353769291,33.160038281816,45528830485.1917,1184000000.0,32.9758132423724,5.44435526151215,5292433198.80144,13.0667474458664,8.22876409284699,19.6954206980837,19.6954206980837,6.31482523475021,8670273695.49852,-0.273361373478997,-375325973.044771,85.9883294126975,118062230214.082,1867828.0,0.279824501,137300295308.038,7.78214410654306,205.69338331283,9.43960862146001,12960610513.1876,137110195139.872,23.2471770334632,31918442717.7273,14.0116705873025,19238065093.9558,19.3925362354025,26626009518.9259,109.235506446161,149980672931.809,8.24770698926629,124976822546.47,76.5487207912375,105101619700.894,6.5881866082292,9045599668.54329,25.3244196150379,34770502916.4936,2.5230487569518,17.0964405201536,23473463321.3339,6671000000.0,7865000000.0,10.5870129174799,3.12633170169882,3975819129.87438,19.6954206980837,-190100168.165533,264544442.0,56.7890015236948,321629374.0,48.1841892345693,345870441.0,51.8158107654307,667499815.0,518120031.0,77.621,34.9393647309074,12323472761.5683,8316115827.7223,6426350817.3537,12.9030118429794,149379784.0,22.379
1979 [YR1979],75.53361999171,31.280959448738,47857257182.8996,1183000000.0,35.3948920767191,4.58310057195224,3177005020.37779,14.4430722352847,8.74517527238276,20.9567362384974,20.9567362384974,6.74963815734046,10326383041.9494,-1.41952821678359,-2171759694.91358,85.691548246477,131100916822.995,2016066.0,0.295180046,152991653792.864,9.00612309419659,224.001018807619,9.8947320247667,15138114163.0628,153181094632.843,22.4309011701982,34317406660.9293,14.308451753523,21890736969.869,20.3543140220659,31140401640.5515,108.122449416675,165418323483.925,9.27438631393287,138566651994.13,75.7968162217103,115962802659.933,8.16916637412405,12498142736.863,25.9922062251217,39765906161.0656,6.27568336762338,17.8520344897244,27312122801.5019,7806000000.0,9827000000.0,11.5254653197444,3.26132865787541,4589738351.59412,20.9567362384974,189440839.978208,269331987.0,56.9691435997674,329097301.0,48.1844132560622,353898047.0,51.8155867439378,682995348.0,527709526.0,77.264,35.521414729613,14425001798.7341,11815414018.5725,7432479364.91613,14.9188045314645,155285822.0,22.736
1980 [YR1980],75.0009158122922,33.0574847297758,61594472500.7475,1751000000.0,34.4665519998103,5.3472982524923,2611175687.50746,16.0510724221279,9.7374092846992,20.5434589535461,20.5434589535461,6.13955113205993,11439539833.7726,-3.10547458413088,-5786286235.55646,87.4980206554448,163030988932.962,2149470.0,0.307527184,186325345089.754,10.0425766324951,266.57785078817,9.65188060851665,17983899851.4697,186762452326.729,21.0776467693967,39272998079.8777,12.5019793445552,23294356156.7922,19.6762401672784,36661822392.3703,108.575667424841,202303987012.839,10.2170712529819,169451747878.765,77.8461400469288,145047089081.493,9.2450257161908,17225826069.329,25.3362458948906,47207847596.4436,11.3460734795095,16.7523757973252,31213922015.0986,8586000000.0,14864000000.0,12.585512716321,3.13378132972583,5420809519.08574,20.5434589535461,437107236.975471,274325590.0,57.1425581036766,336773402.0,48.1825645698037,362179435.0,51.8174354301963,698952837.0,537508711.0,76.902,33.8072587352145,16873597210.988,12009788667.4367,6943862180.06385,15.3845768482507,161444126.0,23.098
1981 [YR1981],74.8830987451288,31.715142387441,61365822478.0086,2106000000.0,34.4567940281971,8.22197482011565,1862891369.98189,16.8047994946957,11.0142316437707,21.2254624471453,21.2254624471453,5.93602662650719,11485654131.2966,-2.63521150843284,-5098886823.3028,85.7686060136673,165954198991.873,2295530.0,0.320880368,193490610032.1,11.12994485041,270.470600926091,9.62616589253244,18625727108.1629,193535405875.045,20.8300351493331,40304162080.3454,14.2313939863327,27536411040.2267,19.8672538703487,38441270710.3635,106.598641163,206258361072.218,11.5044376688084,175366835789.5,76.1424401211349,147328471883.71,8.57123813494003,16584540954.5994,26.1029192061902,50506697608.2436,13.112546897642,16.7704437519772,32449233920.7909,8295000000.0,15418000000.0,12.2553750779255,3.18624812218328,5879007035.84446,21.2254624471453,44795842.9457746,280243741.0,57.1810545374412,344660922.0,48.178382751295,370724075.0,51.821617248705,715384997.0,547863292.0,76.583,33.8716186353749,18123774242.6001,8108837891.29932,4692882371.82402,14.5072647614472,167521705.0,23.417
1982 [YR1982],74.7448052671687,30.5704700827392,61359563464.0861,2257000000.0,36.1051758724807,8.79306118612094,-65535335.815103,18.2038937927274,11.8833363334912,22.6878989177951,22.6878989177951,5.98329984870626,12009388988.7104,-2.1593280522919,-4334098438.97677,85.3194407047595,171249039431.681,2466364.0,0.336824767,200715145360.918,12.0310099483255,274.111333667661,10.1725727813013,20417894244.9342,200056669825.258,20.9818622096462,42113775233.519,14.6805592952405,29466105929.2377,21.0145131267942,42179310569.3342,106.301302914406,213362814665.2,12.5578092823825,181692473538.896,75.1468679234582,150831145186.746,8.14262790099815,16343487427.6871,26.1498047867777,52486618689.3772,7.89074279377489,16.3699959378028,32857061142.1372,9358000000.0,14786000000.0,12.0289876265118,3.34511766555139,6302107956.21001,22.6878989177951,-658475535.660501,286325512.0,57.2263077464337,352736215.0,48.1722463706813,379503283.0,51.8277536293187,732239498.0,559086824.0,76.353,34.8968372779453,19022671822.0223,8241561692.94602,4315146405.27743,14.1259277497044,173152674.0,23.647
